datetime_hora,fecha,hora_periodo,turno,dia,mes,dia_semana_2024,tipo_semana,tipo_carga,consumo_kwh,potencia_media_kw,reactiva_retrasada_kvarh,reactiva_adelantada_kvarh,CO2(tCO2),factor_potencia_retrasada,factor_potencia_adelantada
2024-01-01 00:00:00,2024-01-01,1,N,1,1,Monday,Weekday,Light_Load,13.83,13.83,14.15,0.0,0.0,70.14,100.0
2024-01-01 01:00:00,2024-01-01,2,N,1,1,Monday,Weekday,Light_Load,14.01,14.01,15.76,0.0,0.0,66.5475,100.0
2024-01-01 02:00:00,2024-01-01,3,N,1,1,Monday,Weekday,Light_Load,14.12,14.12,16.67,0.0,0.0,64.74000000000001,100.0
2024-01-01 03:00:00,2024-01-01,4,N,1,1,Monday,Weekday,Light_Load,13.82,13.82,16.2,0.0,0.0,65.0675,100.0
2024-01-01 04:00:00,2024-01-01,5,N,1,1,Monday,Weekday,Light_Load,14.47,14.47,17.64,0.0,0.0,63.5175,100.0
2024-01-01 05:00:00,2024-01-01,6,N,1,1,Monday,Weekday,Light_Load,13.71,13.71,15.26,0.0,0.0,66.89,100.0
2024-01-01 06:00:00,2024-01-01,7,M,1,1,Monday,Weekday,Light_Load,14.26,14.26,15.77,0.0,0.0,67.205,100.0
2024-01-01 07:00:00,2024-01-01,8,M,1,1,Monday,Weekday,Light_Load,13.64,13.64,15.37,0.0,0.0,66.5725,100.0
2024-01-01 08:00:00,2024-01-01,9,M,1,1,Monday,Weekday,Light_Load,13.86,13.86,16.73,0.18,0.0,63.93,99.9675
2024-01-01 09:00:00,2024-01-01,10,M,1,1,Monday,Weekday,Light_Load,15.440000000000001,15.440000000000001,0.0,73.12,0.0,100.0,20.865000000000002
2024-01-01 10:00:00,2024-01-01,11,M,1,1,Monday,Weekday,Light_Load,15.020000000000001,15.020000000000001,0.0,74.12,0.0,100.0,20.005
2024-01-01 11:00:00,2024-01-01,12,M,1,1,Monday,Weekday,Light_Load,15.16,15.16,0.0,40.57,0.0,100.0,44.957499999999996
2024-01-01 12:00:00,2024-01-01,13,M,1,1,Monday,Weekday,Light_Load,15.01,15.01,0.0,57.28,0.0,100.0,31.787499999999998
2024-01-01 13:00:00,2024-01-01,14,M,1,1,Monday,Weekday,Light_Load,15.23,15.23,0.0,73.69,0.0,100.0,20.4575
2024-01-01 14:00:00,2024-01-01,15,T,1,1,Monday,Weekday,Light_Load,15.8,15.8,0.0,80.42,0.0,100.0,19.46
2024-01-01 15:00:00,2024-01-01,16,T,1,1,Monday,Weekday,Light_Load,15.26,15.26,0.0,74.19,0.0,100.0,20.2425
2024-01-01 16:00:00,2024-01-01,17,T,1,1,Monday,Weekday,Light_Load,15.63,15.63,0.0,79.67,0.0,100.0,19.335
2024-01-01 17:00:00,2024-01-01,18,T,1,1,Monday,Weekday,Light_Load,15.08,15.08,0.0,77.05000000000001,0.0,100.0,19.377499999999998
2024-01-01 18:00:00,2024-01-01,19,T,1,1,Monday,Weekday,Light_Load,14.69,14.69,0.0,48.019999999999996,0.0,100.0,34.035
2024-01-01 19:00:00,2024-01-01,20,T,1,1,Monday,Weekday,Light_Load,15.41,15.41,0.0,81.58,0.0,100.0,18.63
2024-01-01 20:00:00,2024-01-01,21,T,1,1,Monday,Weekday,Light_Load,14.89,14.89,0.0,76.86,0.0,100.0,19.1275
2024-01-01 21:00:00,2024-01-01,22,T,1,1,Monday,Weekday,Light_Load,15.55,15.55,0.0,84.63,0.0,100.0,18.3125
2024-01-01 22:00:00,2024-01-01,23,N,1,1,Monday,Weekday,Light_Load,14.0,14.0,9.0,27.58,0.0,81.9825,63.2675
2024-01-01 23:00:00,2024-01-01,24,N,1,1,Monday,Weekday,Light_Load,13.969999999999999,13.969999999999999,14.07,0.0,0.0,70.5925,100.0
2024-01-02 00:00:00,2024-01-02,1,N,2,1,Tuesday,Weekday,Light_Load,14.940000000000001,14.940000000000001,15.59,0.0,0.0,69.1,100.0
2024-01-02 01:00:00,2024-01-02,2,N,2,1,Tuesday,Weekday,Light_Load,13.98,13.98,15.809999999999999,0.0,0.0,66.3975,100.0
2024-01-02 02:00:00,2024-01-02,3,N,2,1,Tuesday,Weekday,Light_Load,14.33,14.33,17.1,0.0,0.0,64.4025,100.0
2024-01-02 03:00:00,2024-01-02,4,N,2,1,Tuesday,Weekday,Light_Load,13.79,13.79,15.8,0.0,0.0,65.88,100.0
2024-01-02 04:00:00,2024-01-02,5,N,2,1,Tuesday,Weekday,Light_Load,14.41,14.41,16.23,0.0,0.0,66.635,100.0
2024-01-02 05:00:00,2024-01-02,6,N,2,1,Tuesday,Weekday,Light_Load,13.61,13.61,14.69,0.0,0.0,68.0075,100.0
2024-01-02 06:00:00,2024-01-02,7,M,2,1,Tuesday,Weekday,Light_Load,14.18,14.18,15.05,0.0,0.0,68.63499999999999,100.0
2024-01-02 07:00:00,2024-01-02,8,M,2,1,Tuesday,Weekday,Light_Load,19.23,19.23,16.2,0.0,0.0,75.2925,100.0
2024-01-02 08:00:00,2024-01-02,9,M,2,1,Tuesday,Weekday,Light_Load,134.0,134.0,87.35,0.07,0.0,83.6275,100.0
2024-01-02 09:00:00,2024-01-02,10,M,2,1,Tuesday,Weekday,Light_Load,212.43,212.43,27.73,2.2,0.0,99.00999999999999,99.9875
2024-01-02 10:00:00,2024-01-02,11,M,2,1,Tuesday,Weekday,Medium_Load,241.01999999999998,241.01999999999998,55.33,0.79,0.0,97.425,99.9975
2024-01-02 11:00:00,2024-01-02,12,M,2,1,Tuesday,Weekday,Maximum_Load,441.43,441.43,229.10999999999999,0.0,0.0,89.07,100.0
2024-01-02 12:00:00,2024-01-02,13,M,2,1,Tuesday,Weekday,Maximum_Load,159.22,159.22,71.60000000000001,70.16,0.0,96.06,58.3125
2024-01-02 13:00:00,2024-01-02,14,M,2,1,Tuesday,Weekday,Medium_Load,310.0,310.0,123.88,32.01,0.0,94.41499999999999,82.43
2024-01-02 14:00:00,2024-01-02,15,T,2,1,Tuesday,Weekday,Medium_Load,442.90999999999997,442.90999999999997,179.68,0.0,0.0,92.82,100.0
2024-01-02 15:00:00,2024-01-02,16,T,2,1,Tuesday,Weekday,Medium_Load,488.76,488.76,210.63,0.0,0.0,91.9075,100.0
2024-01-02 16:00:00,2024-01-02,17,T,2,1,Tuesday,Weekday,Medium_Load,498.93,498.93,218.05,0.0,0.0,91.7025,100.0
2024-01-02 17:00:00,2024-01-02,18,T,2,1,Tuesday,Weekday,Medium_Load,383.08,383.08,141.26,0.0,0.0,93.76,100.0
2024-01-02 18:00:00,2024-01-02,19,T,2,1,Tuesday,Weekday,Maximum_Load,196.3,196.3,55.730000000000004,1.6800000000000002,0.0,94.6875,99.995
2024-01-02 19:00:00,2024-01-02,20,T,2,1,Tuesday,Weekday,Maximum_Load,151.66,151.66,16.23,3.85,0.0,99.38,99.9525
2024-01-02 20:00:00,2024-01-02,21,T,2,1,Tuesday,Weekday,Maximum_Load,108.10999999999999,108.10999999999999,6.1899999999999995,39.81,0.0,99.79,83.035
2024-01-02 21:00:00,2024-01-02,22,T,2,1,Tuesday,Weekday,Medium_Load,26.46,26.46,0.0,101.59,0.0,100.0,25.322499999999998
2024-01-02 22:00:00,2024-01-02,23,N,2,1,Tuesday,Weekday,Medium_Load,19.29,19.29,12.239999999999998,41.9,0.0,81.7925,62.2825
2024-01-02 23:00:00,2024-01-02,24,N,2,1,Tuesday,Weekday,Maximum_Load,18.36,18.36,18.15,0.0,0.0,71.17750000000001,100.0
2024-01-03 00:00:00,2024-01-03,1,N,3,1,Wednesday,Weekday,Light_Load,18.36,18.36,18.15,0.0,0.0,71.115,100.0
2024-01-03 01:00:00,2024-01-03,2,N,3,1,Wednesday,Weekday,Light_Load,18.46,18.46,18.43,0.0,0.0,70.77250000000001,100.0
2024-01-03 02:00:00,2024-01-03,3,N,3,1,Wednesday,Weekday,Light_Load,18.46,18.46,18.39,0.0,0.0,70.8575,100.0
2024-01-03 03:00:00,2024-01-03,4,N,3,1,Wednesday,Weekday,Light_Load,18.53,18.53,19.259999999999998,0.0,0.0,69.34,100.0
2024-01-03 04:00:00,2024-01-03,5,N,3,1,Wednesday,Weekday,Light_Load,18.29,18.29,17.560000000000002,0.0,0.0,72.1375,100.0
2024-01-03 05:00:00,2024-01-03,6,N,3,1,Wednesday,Weekday,Light_Load,18.29,18.29,17.1,0.0,0.0,73.0525,100.0
2024-01-03 06:00:00,2024-01-03,7,M,3,1,Wednesday,Weekday,Light_Load,18.39,18.39,18.01,0.0,0.0,71.44749999999999,100.0
2024-01-03 07:00:00,2024-01-03,8,M,3,1,Wednesday,Weekday,Light_Load,23.04,23.04,17.39,0.0,0.0,78.4875,100.0
2024-01-03 08:00:00,2024-01-03,9,M,3,1,Wednesday,Weekday,Light_Load,230.66000000000003,230.66000000000003,115.1,0.0,0.1,89.365,100.0
2024-01-03 09:00:00,2024-01-03,10,M,3,1,Wednesday,Weekday,Light_Load,415.55,415.55,125.28,0.0,0.19,95.7475,100.0
2024-01-03 10:00:00,2024-01-03,11,M,3,1,Wednesday,Weekday,Medium_Load,254.59,254.59,59.51,0.04,0.11,97.3575,100.0
2024-01-03 11:00:00,2024-01-03,12,M,3,1,Wednesday,Weekday,Maximum_Load,279.93,279.93,147.77,0.04,0.13,88.505,100.0
2024-01-03 12:00:00,2024-01-03,13,M,3,1,Wednesday,Weekday,Maximum_Load,101.67,101.67,45.28,72.22,0.04,96.3675,52.125
2024-01-03 13:00:00,2024-01-03,14,M,3,1,Wednesday,Weekday,Medium_Load,167.5,167.5,52.26,31.82,0.07,96.1625,81.99
2024-01-03 14:00:00,2024-01-03,15,T,3,1,Wednesday,Weekday,Medium_Load,261.64,261.64,94.79,0.0,0.13,94.095,100.0
2024-01-03 15:00:00,2024-01-03,16,T,3,1,Wednesday,Weekday,Medium_Load,257.69,257.69,91.37,0.0,0.12,94.3525,100.0
2024-01-03 16:00:00,2024-01-03,17,T,3,1,Wednesday,Weekday,Medium_Load,389.13,389.13,134.56,0.0,0.17,94.44749999999999,100.0
2024-01-03 17:00:00,2024-01-03,18,T,3,1,Wednesday,Weekday,Medium_Load,485.53,485.53,168.95,0.0,0.22,94.4525,100.0
2024-01-03 18:00:00,2024-01-03,19,T,3,1,Wednesday,Weekday,Maximum_Load,186.74,186.74,48.6,4.17,0.09,95.7175,99.955
2024-01-03 19:00:00,2024-01-03,20,T,3,1,Wednesday,Weekday,Maximum_Load,163.82999999999998,163.82999999999998,15.76,2.73,0.08,99.4675,99.9725
2024-01-03 20:00:00,2024-01-03,21,T,3,1,Wednesday,Weekday,Maximum_Load,148.35,148.35,11.709999999999999,10.4,0.08,99.6325,99.41
2024-01-03 21:00:00,2024-01-03,22,T,3,1,Wednesday,Weekday,Medium_Load,28.34,28.34,0.0,102.23,0.0,100.0,26.8275
2024-01-03 22:00:00,2024-01-03,23,N,3,1,Wednesday,Weekday,Medium_Load,19.54,19.54,12.32,41.94,0.0,81.825,62.535
2024-01-03 23:00:00,2024-01-03,24,N,3,1,Wednesday,Weekday,Maximum_Load,18.54,18.54,18.04,0.0,0.0,71.695,100.0
2024-01-04 00:00:00,2024-01-04,1,N,4,1,Thursday,Weekday,Light_Load,18.53,18.53,18.86,0.0,0.0,70.10249999999999,100.0
2024-01-04 01:00:00,2024-01-04,2,N,4,1,Thursday,Weekday,Light_Load,18.51,18.51,19.0,0.0,0.0,69.7825,100.0
2024-01-04 02:00:00,2024-01-04,3,N,4,1,Thursday,Weekday,Light_Load,18.5,18.5,19.34,0.0,0.0,69.1275,100.0
2024-01-04 03:00:00,2024-01-04,4,N,4,1,Thursday,Weekday,Light_Load,18.58,18.58,19.65,0.0,0.0,68.7075,100.0
2024-01-04 04:00:00,2024-01-04,5,N,4,1,Thursday,Weekday,Light_Load,18.57,18.57,19.13,0.0,0.0,69.675,100.0
2024-01-04 05:00:00,2024-01-04,6,N,4,1,Thursday,Weekday,Light_Load,18.47,18.47,18.03,0.0,0.0,71.5625,100.0
2024-01-04 06:00:00,2024-01-04,7,M,4,1,Thursday,Weekday,Light_Load,18.43,18.43,18.68,0.0,0.0,70.235,100.0
2024-01-04 07:00:00,2024-01-04,8,M,4,1,Thursday,Weekday,Light_Load,21.6,21.6,18.87,0.0,0.0,74.5325,100.0
2024-01-04 08:00:00,2024-01-04,9,M,4,1,Thursday,Weekday,Light_Load,335.52000000000004,335.52000000000004,207.10999999999999,0.0,0.15,85.065,100.0
2024-01-04 09:00:00,2024-01-04,10,M,4,1,Thursday,Weekday,Light_Load,528.08,528.08,210.05,0.0,0.24,92.92,100.0
2024-01-04 10:00:00,2024-01-04,11,M,4,1,Thursday,Weekday,Medium_Load,461.74,461.74,150.05,0.0,0.21,95.085,100.0
2024-01-04 11:00:00,2024-01-04,12,M,4,1,Thursday,Weekday,Maximum_Load,428.11,428.11,209.37,0.0,0.2,89.98,100.0
2024-01-04 12:00:00,2024-01-04,13,M,4,1,Thursday,Weekday,Maximum_Load,157.07000000000002,157.07000000000002,64.33,72.07,0.06999999999999999,96.7525,53.4825
2024-01-04 13:00:00,2024-01-04,14,M,4,1,Thursday,Weekday,Medium_Load,326.55,326.55,106.92,27.650000000000002,0.15,96.2825,81.925
2024-01-04 14:00:00,2024-01-04,15,T,4,1,Thursday,Weekday,Medium_Load,481.57,481.57,171.03,0.0,0.22999999999999998,94.2325,100.0
2024-01-04 15:00:00,2024-01-04,16,T,4,1,Thursday,Weekday,Medium_Load,470.89,470.89,170.46,0.0,0.21000000000000002,94.02,100.0
2024-01-04 16:00:00,2024-01-04,17,T,4,1,Thursday,Weekday,Medium_Load,471.49,471.49,172.63,0.0,0.22,93.9575,100.0
2024-01-04 17:00:00,2024-01-04,18,T,4,1,Thursday,Weekday,Medium_Load,393.34000000000003,393.34000000000003,134.52,3.46,0.18,95.06750000000001,99.92
2024-01-04 18:00:00,2024-01-04,19,T,4,1,Thursday,Weekday,Maximum_Load,203.07999999999998,203.07999999999998,71.93,2.66,0.09,92.74,99.985
2024-01-04 19:00:00,2024-01-04,20,T,4,1,Thursday,Weekday,Maximum_Load,243.15,243.15,101.74000000000001,0.0,0.1,92.42500000000001,100.0
2024-01-04 20:00:00,2024-01-04,21,T,4,1,Thursday,Weekday,Maximum_Load,231.66,231.66,98.42,0.04,0.1,92.33,100.0
2024-01-04 21:00:00,2024-01-04,22,T,4,1,Thursday,Weekday,Medium_Load,55.839999999999996,55.839999999999996,3.1,78.19,0.02,99.91,43.839999999999996
2024-01-04 22:00:00,2024-01-04,23,N,4,1,Thursday,Weekday,Medium_Load,19.76,19.76,14.870000000000001,40.5,0.0,78.0525,63.0175
2024-01-04 23:00:00,2024-01-04,24,N,4,1,Thursday,Weekday,Maximum_Load,18.68,18.68,21.02,0.0,0.0,66.53,100.0
2024-01-05 00:00:00,2024-01-05,1,N,5,1,Friday,Weekday,Light_Load,18.22,18.22,20.41,0.0,0.0,66.64,100.0
2024-01-05 01:00:00,2024-01-05,2,N,5,1,Friday,Weekday,Light_Load,18.689999999999998,18.689999999999998,21.130000000000003,0.0,0.0,66.2875,100.0
2024-01-05 02:00:00,2024-01-05,3,N,5,1,Friday,Weekday,Light_Load,18.57,18.57,19.869999999999997,0.0,0.0,68.2975,100.0
2024-01-05 03:00:00,2024-01-05,4,N,5,1,Friday,Weekday,Light_Load,18.54,18.54,20.16,0.0,0.0,67.6925,100.0
2024-01-05 04:00:00,2024-01-05,5,N,5,1,Friday,Weekday,Light_Load,18.55,18.55,19.259999999999998,0.0,0.0,69.38,100.0
2024-01-05 05:00:00,2024-01-05,6,N,5,1,Friday,Weekday,Light_Load,18.5,18.5,19.509999999999998,0.0,0.0,68.81,100.0
2024-01-05 06:00:00,2024-01-05,7,M,5,1,Friday,Weekday,Light_Load,18.5,18.5,19.259999999999998,0.0,0.0,69.275,100.0
2024-01-05 07:00:00,2024-01-05,8,M,5,1,Friday,Weekday,Light_Load,21.490000000000002,21.490000000000002,20.13,0.0,0.0,72.21,100.0
2024-01-05 08:00:00,2024-01-05,9,M,5,1,Friday,Weekday,Light_Load,295.48,295.48,179.1,0.0,0.13,84.4825,100.0
2024-01-05 09:00:00,2024-01-05,10,M,5,1,Friday,Weekday,Light_Load,466.71,466.71,167.69,0.0,0.21,94.15,100.0
2024-01-05 10:00:00,2024-01-05,11,M,5,1,Friday,Weekday,Medium_Load,470.28,470.28,163.26,0.0,0.22,94.4825,100.0
2024-01-05 11:00:00,2024-01-05,12,M,5,1,Friday,Weekday,Maximum_Load,494.46000000000004,494.46000000000004,237.45,0.0,0.22999999999999998,90.1425,100.0
2024-01-05 12:00:00,2024-01-05,13,M,5,1,Friday,Weekday,Maximum_Load,122.97999999999999,122.97999999999999,42.91,72.25999999999999,0.04,97.875,49.935
